,Unnamed: 0,sentence,tag,label
1045,14,The Canadian government has announced new regulations to ensure that foreign investors are subject to the same rules as domestic investors when it comes to investing in the country's stock markets.,0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
497,497,The United Nations has imposed an arms embargo on the Democratic Republic of the Congo in an effort to prevent the government from using weapons against its own citizens.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect 0 0 0 0 0,prevent
1060,29,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,enable
1105,74,The European Union has announced a new initiative to promote economic integration and cooperation between member states.,0 0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0,enable
1334,303,The Canadian government has announced a new program to provide free legal aid to low-income individuals and families.,0 0 0 0 0 0 0 condition 0 0 0 0 effect 0 0 0 0 0 0 0 0,enable
1881,302,"They've been given a mandate from Switzerland"" to expand their U.S. chocolate operations. ",0 0 0 cause 0 0 0 0 0 0 effect 0 0 0 0 0,cause
1495,9,",The government has implemented a series of reforms to promote public health and reduce the spread of disease.",0 0 0 0 0 0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0,intend
623,70,The United Nations passed a resolution to impose an arms embargo on Libya in an effort to pressure the government to end its civil war.,0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
1982,403,"That's largely because of defensive measures they adopted after the 1987 crash, when individual investors fled the market and trading activity dwindled. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1569,83,",The government passed a law to increase funding for social services, in an effort to reduce inequality.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
1061,30,The company has also announced that it will be investing in new infrastructure projects to improve the quality of life in the local community.,0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,enable
1270,239,"The Canadian government has announced a new program to help low-income families with the cost of childcare, providing up to $1000 per year in assistance for those who qualify.",0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
1643,64,"A senior dealer with Warburg Securities noted British Gas, the most active blue-chip stock at 20 million shares traded, was affected by the political implications of Mr. Lawson's departure and Mrs. Thatcher's cabinet shuffle.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0,cause
1787,208,The New Orleans oil and gas exploration and diving operations company added that it does n't expect any further adverse financial impact from the restructuring.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 O 0,0
427,427,"To prevent the financing of terrorist organizations, the United States has implemented a series of laws to regulate financial transactions.",0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0,prevent
660,107,"The government passed a law to increase access to public transportation, in an effort to reduce traffic congestion.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
247,247,The government has implemented a series of laws to prevent the sale of counterfeit goods.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
661,108,"The government passed a law to increase access to affordable housing, in an effort to reduce homelessness.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
2196,98,"Earlier this month, a group led by three of the company's directors, Burt Sugarman, James M. Trotter III and Willam E. Trotter II, indicated it had a 45.2% stake in the Louisville, Ky., fast-food company and that it planned to seek a majority of seats on Rally's nine-member board.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
510,510,"The government has implemented a series of measures to prevent the spread of misinformation, including increased regulation of social media platforms and increased investment in media literacy.",0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
519,519,"The government has implemented a series of measures to prevent the spread of discrimination, including increased awareness and education.",0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0 0 0 0 0,prevent
1484,453,The United States has imposed tariffs on Chinese imports in an effort to reduce the trade deficit.,0 0 0 0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0,enable
1812,233,"The US State Department said it had been advised, including by public health professionals in Britain, that its health protocols ""would permit us to continue with our G7 activities as planned"".",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,enable
266,266,The United States has imposed economic sanctions on certain countries in an effort to prevent the financing of organized crime.,0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
